Unique ID,Unique ID additional information,Picture 1 path (Product),Picture 1 additional information,Picture 2 path (Person),Picture 2 additional information,Picture 3 path (Charger),Picture 3 additional information,Product Name,Product name additional information,Model,Model additional information,Company,Company additional information,Product link,Product link additional information,Toll-free number,Toll-free number additional information,Style,Style additional information,Color,Color additional information,Customer reviews,Customer reviews additional information,Price,Price additional information,Power for the device (battery options),Power for the device additional information,Charger,Charger additional information,How is the volume controlled?,Volume control additional information,How do I fine-tune the device?,Device fine-tuning additional information,Bluetooth used to connect to a smartphone app,Bluetooth smartphone conection additional information,Bluetooth used to deliver (stream) sound from smart phone to hearing aid,Bluetooth streaming additional information,Remote control option,Remote control option additional information,On/Off Control,On/off control additional information,Telecoil (T-Coil),telecoil additional information,Accessories,Accessories additional information,Water resistant,Water resistant additional information,Warranty,Warranty additional information,Can this device be returned?,Device return additional information,Customer Support Prior to Ordering,Customer support prior to order additional information,Customer Support After You Receive the Device,Customer support after receiving device additional information,Set up time,Set up time additional information,Ease of set up,Ease of set up additional information,Fit (can user get it in their ear and have it stay in their ear),Fit additional information,Comfort (does the user find it comfortable after wearing it during the testing procedures),Comfort additional information,Appearance (does the user like the way it looks in their ear),Appearance additional information,Sound quality of speech,Sound quality of speech additional information,Sound quality of music,Sound quality of music additional information,Listening Experience (ADD),Listening Experience ADD Additional Info,CLEARScore,CLEARScore additional information
id,id_addinf,pic1,pic1_addinf,pic2,pic2_addinf,pic3,pic3_addinf,prodName,prodName_addinf,model,model_addinf,company,company_addinf,link,link_addinf,phonenum,phonenum_addinf,style,style_addinf,color,color_addinf,reviews,reviews_addinf,price,price_addinf,power,power_addinf,charger,charger_addinf,volume,volume_addinf,finetune,finetune_addinf,app,app_addinf,stream,stream_addinf,remote_cont,remote_cont_addinf,onoff,onoff_addinf,tcoil,tcoil_addinf,accessories,accessories_addinf,water_resis,water_resis_addinf,warranty,warranty_addinf,return,return_addinf,custsuppPrior,custsuppPrior_addinf,custsuppAfter,custsuppAfter_addinf,setuptime,setuptime_addinf,easeofsetup,easyofsetup_addinf,fit,fit_addinf,comfort,comfort_ addinf,appearance,appearance_addinf,soundqualSpeech,soundqualSpeech_addinf,soundqualMusic,soundqualMusic_addinf,ADD,ADD_addinf,clearscore,clearscore_addinf
1,na,1_Resound_Jabra_Premium200_1.png,na,1_Resound_Jabra_Premium200_2.png,na,1_Resound_Jabra_Premium200_3.png,na,Jabra Enhance,na,Enhance Select 200 Premium,na,GN Resound,na,www.jabraenhance.com,na,(800) 854-2772,na,Receiver-in-Canal (RIC),na,Sparkling Silver; Champagne; Gold; Bronze; Warm Gray,May want to select color to match hair or skin tone.,na,na,1995,Price varies based on the level of assistance and warranty provided by manufacturer; Check with manufacturer to select the best option for yourself; Please consult with manufacturer for exisitng pricing options.,Rechargeable,30 hours from a single charge; Streaming may shorten battery performance; Type of cell phone may impact battery performance when streaming.,Yes,Charger gives you up to three (3) additional hearing aid charges,App; on Hearing Aid,na,App: on Hearing Aid,Purchase of Premium Package provides additional fine-tuning adjustments via the manufacturer support representatives; Check with the manufacturer if this feature is beneficial for you; Difference between Premium vs Basic models,Yes,na,Yes,Streaming available for most Apple products; Hands-free calling is limited to certain iPhone and iPad models; Android phones will stream directly or require an additional streaming accessory; Check with manufacturer to confirm your cell phone and iPad compatibility and the correct operating system requirements. ,App,na,na,na,No,na,Yes,TV adapter; Multi-mic; Phone-clip+; Extra charging case; Check with manufacturer to see whether any of these accessories will be beneficial for you; Contact manufacturer for any replacement parts.,Yes,na,3-year warranty and loss & damage protection,na,Yes,100 days; Contact the manufacturer regarding the return policy.,Yes,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,na,1_Resound_Jabra_Premium200_1.png,na,1_Resound_Jabra_Premium200_2.png,na,1_Resound_Jabra_Premium200_3.png,na,Jabra Enhance,na,Enhance Select 200 Basic,na,GN Resound,na,www.jabraenhance.com,na,(800) 854-2772,na,Receiver-in-Canal (RIC),na,Sparkling Silver; Champagne; Gold; Bronze; Warm Gray,May want to select color to match hair or skin tone.,na,na,1795,Price varies based on the level of assistance and warranty provided by manufacturer; Check with manufacturer to select the best option for yourself; Please cosult with manufacturer for exisitng pricing options.,Rechargeable,30 hours from a single charge; Streaming may shorten battery performance; Type of cell phone may impact battery performance when streaming.,Yes,Charger gives you up to 3-additional hearing aid charges,App; on Hearing Aid,na,App: on Hearing Aid,If assistance is wanted for additional fine-tuning adjustments with a manufacturer support representative&44; the Premium Package model must be purchased; It is one of the differences between Premium vs Basic models; Check with the manufacturer if this feature is beneficial for you. ,Yes,na,Yes,Streaming available for most Apple products; Hands-free calling is limited to certain iPhone and iPad models; Android phones will stream directly or require an additional streaming accessory; Check with manufacturer to confirm your cell phone and iPad compatibility and the correct operating system requirements.,App,na,na,na,No,na,Yes,TV adapter; Multi-mic; Phone-clip+; Extra charging case; Check with manufacturer to see whether any of these accessories will be beneficial for you; Contact manufacturer for any replacement parts.,Yes,na,1-year warranty and loss & damage protection,na,Yes,100 days; Contact the manufacturer regarding the return policy.,No,na,No,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,na,1_Resound_Jabra_Premium200_1.png,na,1_Resound_Jabra_Premium200_2.png,na,1_Resound_Jabra_Premium200_3.png,na,Jabra Enhance,na,Enhance Select 100 Premium,na,GN Resound,na,www.jabraenhance.com,na,(800) 854-2772,na,Receiver-in-Canal (RIC),na,Sterling Gray; Beige; Medium Blonde; Dark Brown; Black,May want to select color to match hair or skin tone,na,na,1695,Price varies based on the level of assistance and warranty provided by manufacturer; Check with manufacturer to select the best option for yourself;                                  Please cosult with manufacturer for exisitng pricing options.,Rechargeable,30 hours from a single charge. Streaming may shorten battery performance. Type of cell phone may impact battery performance when streaming.,Yes,Charger gives you up to 3-additional hearing aid charges,App; on Hearing Aid,na,App: on Hearing Aid,Purchase of Premium Package provides additional fine-tuning adjustments via the manufacturer support representatives. Check with the manufacturer if this feature is beneficial for you; Difference between Premium vs Basic models,Yes,na,Yes,Streaming available for most Apple products; Hands-free calling is limited to certain iPhone and iPad models; Android phones will stream directly or require an additional streaming accessory; Check with manufacturer to confirm your cell phone and iPad compatibility and the correct operating system requirements,App,na,na,na,No,na,Yes,TV adapter; Multi-mic; Phone-clip+; Extra charging case; Check with manufacturer to see whether any of these accessories will be beneficial for you; Contact manufacturer for any replacement parts,Yes,na,3-year warranty and loss & damage prtotection,na,Yes,100 days; Contact the manufacturer regarding the return policy,Yes,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,na,1_Resound_Jabra_Premium200_1.png,na,1_Resound_Jabra_Premium200_2.png,na,1_Resound_Jabra_Premium200_3.png,na,Jabra Enhance,na,Enhance Select 100 Basic,na,GN Resound,na,www.jabraenhance.com,na,(800) 854-2772,na,Receiver-in-Canal (RIC),na,Sterling Gray; Beige; Medium Blonde; Dark Brown; Black,May want to select color to match hair or skin tone,na,na,1495,Price varies based on the level of assistance and warranty provided by manufacturer; Check with manufacturer to select the best option for yourself; Please cosult with manufacturer for exisitng pricing options.,Rechargeable,30 hours from a single charge. Streaming may shorten battery performance. Type of cell phone may impact battery performance when streaming.,Yes,Charger gives you up to 3-additional hearing aid charges,App; on Hearing Aid,na,App: on Hearing Aid,If assistance is wanted for additional fine-tuning adjustments with a manufacturer support representative&44; the Premium Package model must be purchased;  It is one of the differences between Premium vs Basic models; Check with the manufacturer if this feature is beneficial for you; ,Yes,na,Yes,Streaming available for most Apple products; Hands-free calling is limited to certain iPhone and iPad models; Android phones will stream directly or require an additional streaming accessory; Check with manufacturer to confirm your cell phone and iPad compatibility and the correct operating system requirements,App,na,na,na,No,na,Yes,TV adapter; Multi-mic; Phone-clip+; Extra charging case; Check with manufacturer to see whether any of these accessories will be beneficial for you; Contact manufacturer for any replacement parts,Yes,na,1-year warranty and loss & damage prtotection,na,Yes,100 days; Contact the manufacturer regarding the return policy,No,na,No,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
5,na,1_Resound_Jabra_Premium200_1.png,na,1_Resound_Jabra_Premium200_2.png,na,1_Resound_Jabra_Premium200_3.png,na,Jabra Enhance,na,Enhance Select 50 Premium,na,GN Resound,na,www.jabraenhance.com,na,(800) 854-2772,na,Receiver-in-Canal (RIC),na,Sterling Gray; Beige; Medium Blonde; Dark Brown; Black,May want to select color to match hair or skin tone,na,na,1395,Price varies based on the level of assistance and warranty provided by manufacturer; Check with manufacturer to select the best option for yourself;                                         Please cosult with manufacturer for exisitng pricing options.,Disposable battery,1-year supply of batteries are provided by manufacturer; Expected battery life is 3-10 days depending on the amount of hours/day use and streaming time.,Yes,na,App; on Hearing Aid,na,App: on Hearing Aid,If assistance is wanted for additional fine-tuning adjustments with a manufacturer support representative&44; the Premium Package model must be purchased;  It is one of the differences between Premium vs Basic models; Check with the manufacturer if this feature is beneficial for you; ,Yes,na,Yes,Streaming available for most Apple products; Hands-free calling is limited to certain iPhone and iPad models; Android phones will stream directly or require an additional streaming accessory; Check with manufacturer to confirm your cell phone and iPad compatibility and the correct operating system required for streaming; Streaming may shorten battery life ,App,na,na,na,No,na,Yes,TV adapter; Multi-mic; Phone-clip+; Extra charging case; Check with manufacturer to see whether any of these accessories will be beneficial for you; Contact manufacturer for any replacement parts,Yes,na,3-year warranty and loss & damage prtotection,na,Yes,100 days; Contact the manufacturer regarding the return policy,Yes,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6,na,1_Resound_Jabra_Premium200_1.png,na,1_Resound_Jabra_Premium200_2.png,na,1_Resound_Jabra_Premium200_3.png,na,Jabra Enhance,na,Enhance Select 50 Basic,na,GN Resound,na,www.jabraenhance.com,na,(800) 854-2772,na,Receiver-in-Canal (RIC),na,Gray; Beige; Medium Blonde; Dark Brown; Black,May want to select color to match hair or skin tone,na,na,1195,Price varies based on the level of assistance and warranty provided by manufacturer; Check with manufacturer to select the best option for yourself;                                             Please consult with manufacturer for exisitng pricing options.,Disposable battery,1-year supply of batteries are provided by manufacturer; Expected battery life is 3-10 days depending on the amount of hours/day use and streaming time; Battery ingestion can be harmful&44; never swallow. If ingested seek immediate medical attention or call the National Battery Ingestion Hotline any time on (202) 625-3333,No,na,App; on Hearing Aid,na,App: on Hearing Aid,If assistance is wanted for additional fine-tuning adjustments with a manufacturer support representative&44; the Premium Package model must be purchased;  It is one of the differences between Premium vs Basic models; Check with the manufacturer if this feature is beneficial for you; ,Yes,na,Yes,Streaming available for most Apple products; Hands-free calling is limited to certain iPhone and iPad models; Android phones will stream directly or require an additional streaming accessory; Check with manufacturer to confirm your cell phone and iPad compatibility and the correct operating system required for streaming; Streaming may shorten battery life,App,na,na,na,No,na,Yes,TV adapter; Multi-mic; Phone-clip+; Extra charging case; Check with manufacturer to see whether any of these accessories will be beneficial for you; Contact manufacturer for any replacement parts,Yes,na,1-year warranty and loss & damage prtotection,na,Yes,100 days; Contact the manufacturer regarding the return policy,No,na,No,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
7,na,7_Eargo5_1.png,na,7_Eargo5_2.jpg,na,7_Eargo5_3.png,na,Eargo,na,Eargo 5,na,Eargo 5,na,www.eargo.com,na,(855) 907-0327,na,Completely-inCanal (CIC),na,Black,na,na,na,1650,Please consult with manufacturer for exisiting pricing options,Rechargeable,Up to 16 hours,Yes,Same charger for Eargo 5&44; 6&44; 7 if not using the App. If App is used&44; than charger must be specific to Eargo hearing aid model.,App,na,App,Self-fitting process utlizing the App; 4-Preset program changes with the App or double tap near the device/ear,Yes,na,No,Has a phone acoustic program as one of the 4-Preset programs which can be changes with the App,App,Must register devices to use the App,Charger,Placing the devices in the charger turns the hearing aids off,No,na,Yes,Contact manufacturer for any replacement parts,No,na,1-year warranty and loss & damage protection,na,Yes,45 days; Contact the manufacturer regarding the return policy,Yes,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8,na,8_Eargo6_1.png,na,8_Eargo6_2.png,na,7_Eargo5_3.png,na,Eargo,na,Eargo 6,na,Eargo 6,na,www.eargo.com,na,(855) 907-0327,na,Completely-inCanal (CIC),na,Black,na,na,na,2250,Please consult with manufacturer for exisiting pricing options,Rechargeable,Up to 16 hours,Yes,Same charger for Eargo 5&44; 6&44; 7 if not using the App. If App is used&44; than charger must be specific to Eargo hearing aid model.,App,na,App,Self-fitting process utlizing the App; 4-Preset program changes with the App or double tap near the device/ear,Yes,na,No,na,App,Must register devices to use the App,Charger,Placing the devices in the charger turns the hearing aids off,No,na,Yes,Contact manufacturer for any replacement parts,Yes,IPX7,1-year warranty and loss & damage protection,na,Yes,45 days; Contact the manufacturer regarding the return policy,Yes,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9,na,9_Eargo7_1.png,na,9_Eargo7_2.png,na,9_Eargo7_3.png,na,Eargo,na,Eargo 7,na,Eargo 7,na,www.eargo.com,na,(855) 907-0327,na,Completely-inCanal (CIC),na,Black,na,na,na,2650,Please consult with manufacturer for exisiting pricing options,Rechargeable,Up to 16 hours,Yes,Same charger for Eargo 5&44; 6&44; 7 if not using the App. If App is used&44; than charger must be specific to Eargo hearing aid model; Up to 2 days of on-the-go charging with portable charger.,App,na,App,Self-fitting process utlizing the App; 4-Preset program changes with the App or double tap near the device/ear,Yes,na,No,na,App,Must register devices to use the App,Charger,Placing the devices in the charger turns the hearing aids off,No,na,Yes,Contact manufacturer for any replacement parts,Yes,IPX7,2-year warranty and loss & damage protection,na,Yes,45 days; Contact the manufacturer regarding the return policy,Yes,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
